Age,Income,Category,Number_of_Purchases,Target,Continuous_Target
64,146936.57,C,23,1,0.25
41,127517.42,A,5,1,0.91
31,78281.25,B,41,0,0.68
67,104399.83,D,31,0,0.68
48,38608.12,B,2,0,0.67
33,77863.75,A,1,1,0.3
26,143882.74,A,13,1,0.08
36,86456.75,D,28,0,0.63
67,104089.16,B,19,1,0.44
69,100431.68,A,22,1,0.68
54,143605.51,A,17,0,0.62
34,80861.27,A,32,1,0.09
58,80104.4,A,24,0,0.25
24,91594.48,B,10,0,0.53
37,116900.14,A,50,0,0.64
44,39478.79,D,35,1,0.69
64,58181.72,C,12,0,0.9
23,90769.93,A,26,1,0.04
58,90920.37,C,1,1,0.77
20,136853.55,D,40,1,0.77
39,149572.09,D,19,1,0.74
58,62857.21,A,11,1,0.59
47,47445.07,B,48,1,0.36
54,79849.5,B,44,1,0.79
44,134883.79,B,18,0,0.9
59,80991.14,B,34,1,0.98
63,134795.17,B,48,1,0.29
37,138839.34,D,48,1,0.47
27,123720.14,C,18,1,0.46
61,36261.7,C,49,0,0.44
52,20426.25,A,36,0,0.04
58,110581.36,B,11,1,0.75
21,74453.46,B,17,0,0.9
22,89615.34,A,3,0,0.69
25,132907.59,C,26,1,0.71
20,90990.78,B,31,1,0.7
26,137912.04,C,14,1,0.44
30,83865.96,B,29,1,0.08
69,42495.1,A,20,1,0.67
43,59226.52,D,35,1,0.53
31,35822.43,C,1,1,0.27
50,37959.44,A,39,1,0.53
19,103446.57,B,50,0,0.74
41,79559.53,B,43,1,0.74
52,145915.69,B,37,1,0.89
62,130988.38,C,11,0,0.58
67,29407.96,D,5,1,0.32
62,24718.12,C,7,0,0.95
25,124092.02,A,23,0,0.54
62,84244.09,D,17,0,0.54
32,59360.07,B,13,0,0.81
37,123182.38,A,23,0,0.33
21,128041.4,C,24,1,0.62
31,57769.66,B,19,1,0.72
69,44787.88,C,37,1,0.65
27,128744.75,A,41,1,0.61
60,25239.96,A,23,1,0.71
21,23485.53,A,10,1,0.85
64,72057.44,A,34,0,0.07
32,38833.51,C,47,0,0.27
56,133157.72,D,36,0,0.52
24,113367.72,C,4,0,0.34
61,40387.19,B,27,1,0.79
21,41425.5,A,9,0,0.93
57,104466.5,A,13,1,0.91
68,24938.51,B,1,0,0.5
39,48018.68,C,39,0,0.01
34,115379.68,C,31,1,0.59
61,62076.02,D,19,0,0.22
36,61628.16,D,43,1,0.62
36,40358.44,C,19,1,0.84
65,62681.36,C,2,1,0.37
18,42720.41,D,49,1,0.67
33,110715.6,C,4,0,0.2
33,110887.17,B,31,1,0.59
61,44563.85,D,4,1,0.52
59,93451.73,B,37,1,0.79
51,36702.01,A,34,0,0.94
29,137248.93,C,25,0,0.56
27,108759.88,A,20,0,0.49
21,116785.11,A,44,0,0.12
65,129108.97,A,45,0,0.06
30,143716.62,D,11,1,0.87
49,115805.77,B,35,0,0.58
35,117442.13,D,38,1,0.99
65,121716.89,A,24,0,0.78
23,68265.87,B,47,0,0.64
70,26011.63,D,5,1,0.56
43,119372.58,A,1,1,0.56
24,33881.82,D,5,1,0.51
62,107519.34,C,15,0,0.57
29,140479.88,A,17,0,0.82
39,70742.94,D,38,1,0.52
33,92439.81,A,43,0,0.8
33,102114.09,D,35,1,0.58
66,106237.06,D,50,0,0.35
22,34318.0,A,2,0,0.98
30,37888.8,B,30,1,0.89
29,59428.89,B,23,0,0.02
27,136490.94,B,34,0,0.9
19,124977.74,B,41,0,0.56
60,72250.15,B,44,1,0.65
28,58738.8,A,3,0,0.02
65,53283.92,B,27,1,0.69
67,130227.47,C,31,1,0.94
37,28068.28,D,43,1,0.73
59,82546.04,D,1,0,0.9
39,29992.71,C,42,0,0.42
62,29704.17,D,11,0,0.49
45,59638.12,A,23,1,0.87
60,85524.41,B,48,1,0.43
20,107842.7,D,33,0,1.0
28,105705.53,D,39,0,0.68
39,105663.91,C,1,0,0.93
59,58475.67,C,2,1,0.51
58,29683.73,C,1,1,0.43
44,120344.35,B,17,0,0.95
52,35835.75,D,21,0,0.85
65,38070.68,D,27,1,0.85
36,34262.83,C,30,1,0.89
47,145088.63,C,16,1,0.27
23,44652.7,B,45,0,0.65
19,130517.07,D,12,0,0.03
50,147068.39,D,13,1,0.74
50,145143.91,B,45,1,0.67
64,30557.4,C,43,1,0.8
47,148313.07,A,11,0,0.56
63,62437.78,D,15,0,0.55
38,103617.22,C,1,1,0.08
56,62856.2,D,29,1,0.17
45,63959.43,D,38,1,0.12
26,55408.86,A,6,1,0.49
53,48313.86,A,26,1,0.08
27,136795.89,D,9,0,0.51
18,112555.98,B,9,1,0.76
47,74007.1,D,37,0,0.43
29,90301.09,A,15,1,0.81
18,33623.28,A,38,0,0.49
62,64627.55,B,33,1,0.06
59,29361.81,A,32,1,0.62
58,85105.13,A,34,0,0.11
52,119021.1,C,29,1,0.53
30,80262.03,B,21,0,0.44
54,61113.74,A,29,0,0.33
58,35775.39,C,8,1,0.7
26,67514.26,D,48,1,0.77
70,80268.25,D,40,0,0.12
42,98095.81,C,24,0,0.89
29,37302.14,D,27,1,0.98
59,123580.01,D,32,0,0.33
22,96149.44,C,46,0,0.21
23,38854.07,D,10,1,0.68
21,129846.44,D,19,0,0.85
24,111609.22,A,15,0,0.04
39,104670.67,A,37,0,0.24
39,127688.24,C,38,0,0.11
47,93166.84,D,38,0,0.75
62,50242.05,C,24,0,0.66
36,44626.1,C,18,0,0.78
30,128758.31,A,47,1,0.11
51,133240.1,C,6,1,0.13
20,44442.25,B,45,1,0.31
24,80843.54,B,39,1,0.23
46,126974.46,B,27,1,0.11
58,111517.83,C,50,1,0.9
68,97463.83,D,29,0,0.58
64,112085.23,D,13,0,0.63
47,82085.29,B,40,1,0.9
65,83363.2,B,39,1,0.58
44,65626.28,A,1,0,0.59
50,128989.04,D,13,0,0.35
44,147008.64,A,13,0,0.56
59,32058.2,D,41,0,0.52
32,73152.29,C,15,0,0.79
29,68229.85,D,17,1,0.36
65,80792.58,A,23,1,0.81
57,117293.92,A,22,0,0.33
55,39509.77,D,42,0,0.57
24,120961.61,D,24,0,0.26
62,118048.08,B,35,1,0.13
